Source Coordinate,Target Coordinate,Path Type,Obstacle,Path ID,Channel coefficient,Propagation delay,Zenith angle of departure,Azimuth angle of departure,Zenith angle of arrival,Azimuth angle of arrival
[[-24. -14.  10.]],[[-3. 13.  5.]],[[0 1 1 1 1 1]],0,0,(0.0006941492+0j),0.0,1.7159446,0.90975314,1.425648,-2.2318397
[[-24. -14.  10.]],[[-3. 14.  5.]],[[0 1 1 1 1 1 1]],0,0,(0.00067902496+0j),0.0,1.7126935,0.9272952,1.4288993,-2.2142975
[[-24. -14.  10.]],[[-3. 15.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0006643487+0j),0.0,1.7095444,0.9440534,1.4320483,-2.1975393
[[-24. -14.  10.]],[[-3. 16.  5.]],[[0 1 1 1 1 1 1]],0,0,(0.0006501167+0j),0.0,1.7064959,0.9600704,1.4350967,-2.1815224
[[-24. -14.  10.]],[[-3. 17.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.0006363231+0j),0.0,1.7035464,0.9753865,1.4380463,-2.1662064
[[-24. -14.  10.]],[[-3. 18.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.00062296004+0j),0.0,1.7006936,0.99004,1.4408991,-2.1515527
[[-24. -14.  10.]],[[-3. 19.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.0006100184+0j),0.0,1.6979345,1.0040672,1.4436582,-2.1375256
[[-24. -14.  10.]],[[-3. 20.  5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.0005974881+0j),0.0,1.6952671,1.0175021,1.4463257,-2.1240907
[[-24. -14.  10.]],[[-3. 21.  5.]],[[0 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00058535795+0j),0.0,1.6926883,1.0303769,1.4489044,-2.1112158
[[-24. -14.  10.]],[[-3. 22.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0005736166+0j),0.0,1.6901951,1.042722,1.4513977,-2.0988708
[[-24. -14.  10.]],[[-3. 23.  5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.00056225184+0j),0.0,1.687785,1.0545657,1.4538077,-2.087027
[[-24. -14.  10.]],[[-3. 24.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.0005512517+0j),0.0,1.6854547,1.065935,1.456138,-2.0756578
[[-24. -14.  10.]],[[-3. 25.  5.]],[[0 1 1 1 1 1 1]],0,0,(0.000540604+0j),0.0,1.6832014,1.076855,1.4583912,-2.0647378
[[-24. -14.  10.]],[[-3. 26.  5.]],[[0 1 1 1 1 1 1]],0,0,(0.0005302966+0j),0.0,1.6810225,1.0873493,1.4605702,-2.0542433
[[-24. -14.  10.]],[[-3. 27.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.0005203174+0j),0.0,1.6789151,1.0974404,1.4626776,-2.0441523
